year,"Civil rights(""right"", ""domain"", ""affirmative"", ""ethnicity"", ""race"")","Criminal law(""marijuana"", ""crime"", ""criminal"")","Criminal procedure(""bail"", ""felon"", ""jury"", ""trial"", ""bond"")","Economic and labor rights(""work"", ""wage"", ""union"", ""collective"")","Education(""education"", ""school"", ""college"", ""university"")","Environment(""energy"", ""conservation"", ""forest"", ""natural"", ""parks"", ""renewable"", ""resources"", ""lands"")","Government structure(""legislature"", ""legislative"", ""legislator"", ""senate"", ""term"", ""retire"", ""salary"", ""commission"", ""governor"", ""gubernatorial"", ""executive"", ""board"", ""judicial"", ""judges"", ""court"", ""office"", ""official"", ""government"")","Gun rights(""gun"", ""arms"")","Judicial selection and administration(""court"", ""judicial"", ""judge"")","Reproductive rights(""abortion"", ""parental"")","Speech and religion(""speech"", ""expression"", ""religion"", ""exercise"", ""establishment"")","Torts and liability(""tort"", ""liab"")","Voting rights and elections(""voting"", ""election"", ""district"", ""campaign"", ""voter"", ""ID"", ""primaries"", ""primary"", ""absentee"", ""regist"")","Redistricting(""redistrict"")","LGBTQ+(""sex"", ""marriage"", ""SSM"")"
2004-2005,0,0,1,0,0,0,5,0,2,1,0,0,4,2,2
2006-2007,1,1,4,0,6,0,21,0,7,1,0,0,5,1,10
2008-2009,25,8,0,6,18,10,83,0,7,4,0,0,23,4,11
2010-2011,5,0,3,1,6,5,36,1,9,0,0,0,17,5,0
2012-2013,11,3,3,3,8,7,45,1,14,1,2,0,6,1,3
2014-2015,11,5,3,0,7,2,46,2,10,1,0,0,16,2,1
2016-2017,9,3,3,5,9,6,43,1,14,0,0,0,10,2,0
2018-2019,4,4,3,0,7,5,45,0,6,3,0,0,17,6,4
2020-2021,8,4,2,1,5,4,41,0,10,1,1,0,18,3,1
2022-2023,13,3,2,3,4,2,25,0,7,6,1,0,9,0,1
2024-2025,11,1,1,2,8,2,27,0,8,9,0,0,24,1,3
